대여소_ID,대여소명,시간대그룹,평균총이용건수,평균예측대여수요,평균예측반납수요,평균예측순유출량,평균예측불균형,이용빈도점수,불균형점수,순유출점수,우선순위기초점수
ST-68, 시범아파트버스정류장 옆,야간,7.797669491525424,3.218538814670754,4.843198673742403,-1.624659859071649,1.712952764129782,0.1039760760428171,0.05424160375769793,0.07093984605278196,0.0774750411307624
ST-297, 여의도중학교 옆,야간,10.82687338501292,5.954397173676061,6.531901126074135,-0.5775039523980725,1.052765956452678,0.1526995221432038,0.02463535565022904,0.02498423676639965,0.07593079847065308
ST-2694, 국회6문,야간,5.199040767386091,3.991345787114365,2.205527569547153,1.785818217567213,2.321718083804653,0.06217824696708926,0.08154184193866443,0.07801246103690915,0.0730905277696833
ST-2814, 63스퀘어,야간,7.374581939799331,3.25229930357765,4.736475119138154,-1.484175815560503,1.550942126162997,0.09717089413789821,0.04697619480387356,0.06477454652725309,0.07061374488215934
ST-70, 롯데캐슬 앞,야간,8.614432989690721,4.701865302809888,3.962729343638473,0.7391359591714148,1.420610282792169,0.117113366789464,0.04113142958549958,0.03207763833546044,0.06971344621707753
ST-59, KT앞,야간,6.884615384615385,4.281064229521625,3.112757285562024,1.168306943959601,1.422762365363236,0.08928999213132759,0.0412279402849044,0.05091228747250235,0.06238963046099327
ST-52, 산업은행 앞,야간,7.209656925031767,4.390766581239127,3.504947572084253,0.8858190091548738,1.422979016920633,0.09451814597363335,0.04123765608001962,0.03851498819999787,0.06200531846146077
ST-66, NH농협은행 앞,야간,7.870540265035678,4.174593745701063,3.62453214320697,0.5500616024940935,1.33083220198393,0.1051481711972745,0.03710530833601056,0.02377989851834107,0.06165737151698225
ST-3160, 여의도 삼부아파트,야간,8.506147540983607,4.121985396344446,4.690387241607767,-0.5684018452633212,1.081101001689989,0.115371641765645,0.0259060480810334,0.02458478060471291,0.06142803205961394
ST-2644,국회제2의원회관,야간,2.756198347107438,2.413053188913436,0.3489320487567307,2.064121140156705,2.183735759116217,0.02288617380817281,0.07535398890727031,0.09022609636310308,0.05734128435879787
ST-3315,우리은행 앞,야간,6.181697612732095,3.898157588954342,2.730526607704447,1.167630981249895,1.344953593150124,0.0779838610897722,0.03773858577449801,0.05088262209222665,0.05646550316415341
ST-1971,여의도 순복음교회,야간,6.010544815465729,3.862973769136356,3.350230524729634,0.5127432444067217,1.397408010461827,0.07523094171367256,0.04009091768298798,0.022142140594671,0.05055717187759842
ST-46, 진미파라곤 앞,야간,6.975206611570248,3.926581122294377,3.689347161233014,0.2372339610613635,1.182706044193268,0.09074711318322927,0.03046255248606127,0.01005110725426769,0.05049408771856976
